id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input pressure,99,43,11,21,271,ship,baseline,monotonic-signal,raise-signal
m002,g002,state drift,67,19,10,72,266,ship,edge,drag-penalty,drop-slack
m003,g003,review cost,59,26,18,56,192,ship,recovery,confidence-floor,raise-drag
m004,g004,decision risk,58,27,13,86,277,ship,negative,lane-boundary,lower-confidence
m005,g005,input pressure,114,30,37,39,181,ship,baseline,monotonic-signal,raise-signal
m006,g006,state drift,44,23,8,56,206,ship,edge,drag-penalty,drop-slack
m007,g007,review cost,105,73,44,69,274,ship,recovery,confidence-floor,raise-drag
m008,g008,decision risk,95,60,32,67,284,ship,negative,lane-boundary,lower-confidence
m009,g009,input pressure,59,21,10,47,204,ship,baseline,monotonic-signal,raise-signal
m010,g010,state drift,75,28,43,35,61,hold,edge,drag-penalty,drop-slack
m011,g011,review cost,91,51,47,34,117,hold,recovery,confidence-floor,raise-drag
m012,g012,decision risk,58,24,19,68,205,ship,negative,lane-boundary,lower-confidence
m013,g013,input pressure,54,13,26,23,50,hold,baseline,monotonic-signal,raise-signal
m014,g014,state drift,86,0,15,84,265,ship,edge,drag-penalty,drop-slack
m015,g015,review cost,110,46,18,33,288,ship,recovery,confidence-floor,raise-drag
m016,g016,decision risk,38,67,10,85,330,ship,negative,lane-boundary,lower-confidence
m017,g017,input pressure,102,10,11,92,353,ship,baseline,monotonic-signal,raise-signal
m018,g018,state drift,80,8,34,94,194,ship,edge,drag-penalty,drop-slack
m019,g019,review cost,77,26,12,99,344,ship,recovery,confidence-floor,raise-drag
m020,g020,decision risk,35,67,13,7,153,watch,negative,lane-boundary,lower-confidence
m021,g021,input pressure,115,55,40,71,282,ship,baseline,monotonic-signal,raise-signal
m022,g022,state drift,57,5,13,55,169,ship,edge,drag-penalty,drop-slack
m023,g023,review cost,80,34,50,98,174,ship,recovery,confidence-floor,raise-drag
m024,g024,decision risk,51,11,38,25,-16,hold,negative,lane-boundary,lower-confidence
m025,g025,input pressure,93,16,37,55,143,watch,baseline,monotonic-signal,raise-signal
m026,g026,state drift,104,66,38,68,286,ship,edge,drag-penalty,drop-slack
m027,g027,review cost,117,75,47,79,307,ship,recovery,confidence-floor,raise-drag
m028,g028,decision risk,39,76,22,33,186,ship,negative,lane-boundary,lower-confidence
m029,g029,input pressure,101,9,35,34,113,hold,baseline,monotonic-signal,raise-signal
m030,g030,state drift,78,37,22,33,186,ship,edge,drag-penalty,drop-slack
m031,g031,review cost,30,35,24,80,170,ship,recovery,confidence-floor,raise-drag
m032,g032,decision risk,43,31,37,9,-19,hold,negative,lane-boundary,lower-confidence
m033,g033,input pressure,117,32,28,83,324,ship,baseline,monotonic-signal,raise-signal
m034,g034,state drift,100,24,25,32,187,ship,edge,drag-penalty,drop-slack
m035,g035,review cost,99,39,11,97,415,ship,recovery,confidence-floor,raise-drag
m036,g036,decision risk,58,8,11,78,233,ship,negative,lane-boundary,lower-confidence
m037,g037,input pressure,94,65,42,93,294,ship,baseline,monotonic-signal,raise-signal
m038,g038,state drift,58,15,38,98,152,watch,edge,drag-penalty,drop-slack
m039,g039,review cost,48,44,44,105,174,ship,recovery,confidence-floor,raise-drag
m040,g040,decision risk,91,56,38,57,218,ship,negative,lane-boundary,lower-confidence
m041,g041,input pressure,125,29,19,54,321,ship,baseline,monotonic-signal,raise-signal
m042,g042,state drift,44,7,32,97,136,watch,edge,drag-penalty,drop-slack
m043,g043,review cost,99,15,47,37,67,hold,recovery,confidence-floor,raise-drag
m044,g044,decision risk,86,51,25,41,231,ship,negative,lane-boundary,lower-confidence
m045,g045,input pressure,48,72,40,67,174,ship,baseline,monotonic-signal,raise-signal
m046,g046,state drift,63,4,28,78,150,watch,edge,drag-penalty,drop-slack
m047,g047,review cost,79,24,30,45,146,watch,recovery,confidence-floor,raise-drag
m048,g048,decision risk,46,31,22,20,84,hold,negative,lane-boundary,lower-confidence
m049,g049,input pressure,42,72,23,32,177,ship,baseline,monotonic-signal,raise-signal
m050,g050,state drift,30,49,25,79,191,ship,edge,drag-penalty,drop-slack
m051,g051,review cost,76,21,14,21,166,watch,recovery,confidence-floor,raise-drag
m052,g052,decision risk,59,39,20,69,234,ship,negative,lane-boundary,lower-confidence
m053,g053,input pressure,107,16,7,31,273,ship,baseline,monotonic-signal,raise-signal
m054,g054,state drift,33,10,44,96,58,hold,edge,drag-penalty,drop-slack
m055,g055,review cost,92,12,29,90,243,ship,recovery,confidence-floor,raise-drag
m056,g056,decision risk,37,10,13,79,187,ship,negative,lane-boundary,lower-confidence
m057,g057,input pressure,66,11,10,97,298,ship,baseline,monotonic-signal,raise-signal
m058,g058,state drift,70,3,31,104,199,ship,edge,drag-penalty,drop-slack
